,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,target
N_COLON_1,7.5650699999999995,11.5419,6.37493,10.6503,11.6388,11.6692,8.56069,9.3993,10.6244,11.9289,5.0,11.5344,9.86789,9.00956,10.477,5.78161,9.53855,9.261460000000001,8.98576,10.6491,5.0,9.6686,5.3783,5.0,9.70814,5.0,10.470999999999998,9.130930000000001,5.9654,10.5654,7.88232,11.0398,8.07511,8.82433,5.7816,5.897480000000001,5.0,7.651510000000001,9.85272,5.0,9.16553,7.19035,7.00472,8.736939999999999,9.887,5.0,11.1616,5.0,10.4401,6.8858,5.7408,5.0,5.0,5.2891,5.0,5.0,5.9341,8.22033,6.1481,11.5517,5.0,11.0508,11.0691,8.224,11.02,11.5861,5.4241,6.8765,10.182,7.546060000000001,7.2089300000000005,11.8593,7.99193,6.80848,6.670669999999999,11.4068,10.5749,12.0607,11.5725,11.6753,11.9863,11.25,10.9835,5.5405,10.2795,6.5983,11.2473,10.0571,10.1147,8.67403,11.742,6.5332,6.2922,5.3352,10.059,10.5244,5.3009,8.49569,7.94125,9.82897,6.5733,7.536860000000001,8.26123,12.3659,5.0239,11.9958,9.79928,5.9811,6.8974,6.89162,6.57689,8.8551,7.5108,6.85658,11.8219,11.2535,9.71129,9.93602,10.8519,9.47273,5.0,11.1705,8.87858,10.1014,11.2534,8.04348,12.0092,12.0597,6.6123,6.9426,9.4876,5.8207,6.93986,11.0622,6.0186,5.1738,6.862480000000001,6.4415,6.0133,6.05,10.3626,6.8916,5.0,10.4985,8.1253,9.32346,11.6185,7.8295,6.7564,6.85942,7.8552,11.264000000000001,10.2165,6.3794900000000005,7.9486,7.7722,8.35569,7.32538,9.59332,6.5038,8.2532,6.2272,9.695210000000001,5.977180000000001,8.6577,6.7404,5.9927,6.4458,5.0,8.3421,7.1094,5.0,8.4345,7.6232,7.377999999999999,6.3192,7.6294,6.4231,6.9713,5.0,7.8541,6.6157,5.9215,7.9417,6.6307,7.1906,6.8679,7.4723,8.45002,8.9466,6.6937,7.6662,10.0399,5.5226,5.0,5.0,5.0,5.0,5.16,6.72888,6.1532,8.66375,10.0242,5.0,6.5491,6.3824,6.8121,5.0,7.4709,5.4458,5.0,5.0897,5.0,9.5504,5.1323,5.16,5.0,0
N_COLON_2,6.51473,10.4559,5.1437,9.80521,10.3373,11.0584,6.46007,8.2197,8.869530000000001,11.5568,5.0,9.8063,8.13675,7.79862,8.67688,5.0,8.28247,7.39163,7.56997,8.78645,5.0,6.67208,5.0,5.0,7.41193,5.0,8.33505,7.43195,5.0,8.448889999999999,6.1437,8.96976,5.99785,6.894480000000001,5.0,5.08712,5.0,5.982419999999999,8.50935,5.0,8.052439999999999,6.1437,5.49855,6.4821800000000005,7.7629399999999995,5.0,10.7931,5.0,9.013119999999999,6.4433,5.0,5.0,5.0,5.4319,5.0,5.0,5.0,6.737889999999999,5.2114,9.62006,5.0,9.82156,9.32591,7.2114,8.521419999999999,10.128,5.0,5.7742,7.87568,6.8207699999999996,5.46529,11.2828,6.64929,5.48635,5.0,10.2764,8.54525,11.4321,10.5007,10.4385,10.6986,10.2339,9.89156,5.0,8.6305,5.1327,9.37218,8.74852,8.54525,6.70875,9.728769999999999,5.0,5.0,5.0,8.04672,8.43853,5.0,5.0,5.91699,7.8895800000000005,5.0,5.62576,6.726560000000001,12.2772,5.0,12.0704,8.5084,5.0,6.6162,5.89353,5.0,6.970289999999999,5.67245,5.0,11.2819,9.85862,8.092080000000001,8.37218,9.70089,7.82285,5.0,11.0942,6.97774,7.82285,9.34794,6.18519,11.7642,11.9485,5.0,5.3778,7.223319999999999,5.0,7.27568,9.5976,5.0,5.0,5.03604,5.0,5.0,5.0,8.433110000000001,5.2482,5.0,9.397910000000001,6.9781,6.8517,10.6126,7.3196,6.0973,5.8482199999999995,7.1688,10.1978,7.9196100000000005,5.0,6.8094,7.4145,7.7054800000000006,6.22083,7.6585600000000005,5.4027,7.2633,5.9361,8.58832,5.0,7.0914,5.8758,5.0,5.4676,5.0,8.0034,6.0065,5.1771,7.2475,6.0374,6.5341,5.0,6.9295,5.284,6.5079,5.0,6.9361,6.3593,5.0,7.3396,5.8827,6.284,5.9295,6.6345,6.48565,8.4448,5.4027,7.0096,9.00805,5.0002,5.0,5.0,5.0,5.0,5.0,5.61417,5.2208,7.652589999999999,8.35318,5.0,6.2994,5.7397,5.3346,5.0,6.8621,5.0,5.0,5.0,5.0,8.516680000000001,5.0,5.0,5.0,0
N_COLON_3,6.855180000000001,11.3294,5.64573,9.87166,11.6452,11.8113,7.550210000000001,8.63555,9.6536,11.6147,5.0,11.4035,9.423810000000001,8.44145,10.7257,6.1117,8.82365,8.3682,8.57647,10.3231,5.0,9.41259,5.0,5.0,9.35723,5.0,9.48241,8.60341,5.775,10.4182,7.187989999999999,10.8765,7.40595,9.49873,5.3011,5.0,5.0,6.86296,9.19725,5.0,8.51486,5.855180000000001,6.923719999999999,8.80459,9.50309,5.0,11.2865,5.0,10.432,6.6592,5.7332,5.0,5.0,5.2307,5.0,5.0,5.6988,8.43363,5.5037,11.368,5.0,10.583,10.7701,7.5906,10.7289,11.4992,6.1182,6.775,9.77605,7.0248,6.0019599999999995,12.0188,6.5559,5.86522,5.26755,11.364,10.037,11.7908,11.675999999999998,11.6825,11.8533,10.9312,10.6057,5.0621,9.57665,5.2023,11.6443,9.865219999999999,10.7805,7.68578,11.549000000000001,5.5348,5.0,5.0,9.72,10.4849,5.0,7.452999999999999,7.40447,8.90064,5.0,7.25473,6.48079,12.2033,5.0,12.1054,9.862060000000001,5.0,6.742000000000001,5.28026,5.98653,7.839689999999999,6.676189999999999,5.0,11.5556,11.1374,8.60219,8.83539,9.85145,7.330010000000001,5.0,11.2438,7.16847,10.0361,11.1233,8.175289999999999,11.4779,11.9112,5.0,5.5767,9.47113,5.0,6.18208,10.8565,5.0,5.0,5.57665,5.1339,5.0,5.1056,9.15732,5.0,5.0,9.73833,7.522,7.87615,11.9434,7.4587,6.1851,6.16761,7.2966,11.5588,11.1245,5.64295,7.721,9.172,7.98997,7.21378,9.49188,5.8833,7.5826,6.132000000000001,9.33362,6.04528,8.3466,6.2804,5.0,6.3336,5.0,8.1558,6.6927,5.3126,8.144,7.1469,6.9255,5.7170000000000005,7.6451,5.473,6.5105,5.0,7.643,6.5425,5.1909,7.6217,5.5914,6.8025,6.9666,6.9999,7.19088,8.7701,5.9255,7.39,9.70589,5.343999999999999,5.0,5.0,5.0,5.0,5.0,6.36465,6.1558,7.971610000000001,9.39,5.0,5.7487,5.9933,5.6345,5.0,7.141,5.0,5.0,5.0,5.0,7.96656,5.0,5.0,5.0,0
N_COLON_4,7.5718,11.5706,6.699110000000001,10.7517,11.7482,11.8308,8.59907,9.81771,10.9306,11.9466,5.0,11.8965,10.1038,8.662230000000001,11.479000000000001,6.26054,9.9225,9.183539999999999,9.04493,10.696,5.0,9.394589999999999,5.5109,5.0,10.0774,5.0,10.3088,9.18604,6.4186,10.4431,8.01936,11.4441,8.03941,9.7534,5.8904,5.3200400000000005,5.0,7.523569999999999,9.8148,5.0,9.294310000000001,7.548660000000001,7.9876,9.35957,10.0305,5.0,11.3822,5.1336,10.7378,6.7323,5.7351,5.0,5.0,5.561,5.0,5.0,6.1211,8.583219999999999,5.9575,11.4026,5.0,10.863,11.38,8.0149,11.0191,11.5391,7.1043,7.2414,10.350999999999999,6.70335,7.11282,11.9226,7.38063,5.9429,5.86549,11.4478,10.6874,11.8773,11.5958,11.6863,12.1316,11.5266,11.2891,5.0,10.2244,5.6712,11.9526,10.0555,10.8692,8.07156,11.3429,5.0,5.0,5.0,9.83608,10.8964,5.0,8.90816,7.816389999999999,10.4625,5.3031,8.15526,8.34543,12.1486,5.0,12.0352,10.0669,5.535,6.6516,6.59105,6.79865,8.45989,6.98009,5.7097,11.8803,11.2528,9.03731,9.23875,10.6273,8.92188,5.0,11.6334,8.39841,10.6039,11.2543,8.29255,11.923,12.0162,5.4989,6.0061,9.68577,5.0,6.45045,10.5148,5.0,5.0,6.7097,5.7097,5.0,5.5563,9.83318,5.9429,5.0,10.1123,7.6781,8.61368,11.7758,7.521,6.3838,6.5145800000000005,7.6167,11.3803,10.6671,7.18863,7.7506,7.3118,8.071480000000001,7.49521,9.89494,5.6137,8.1333,6.2477,9.59334,6.32285,8.2583,6.3192,5.4287,5.9676,5.0,8.2322,7.0137,5.0,8.1561,7.3247,7.0451,5.712000000000001,7.8429,5.9487,6.5017,5.0,7.7176,6.3302,5.9296,7.7588,6.5494,7.1966,7.3608,7.1479,8.26875,8.86,6.1926,7.6433,10.1854,5.0,5.0,5.0,5.0,5.0,5.0,6.4047,6.3873,8.434660000000001,10.0387,5.0,6.2204,5.7936,5.5956,5.0,6.9769,5.0,5.0,5.0137,5.0,9.29138,5.0,5.0,5.0,0
N_COLON_5,7.54103,11.5891,6.51179,10.5554,11.8599,11.8535,8.18122,9.34286,10.4826,11.8709,5.0,11.5437,9.39918,9.10085,10.955,5.94639,9.22992,8.942739999999999,9.11145,10.8278,5.0,9.83076,5.7179,5.0,9.789719999999999,5.0,10.1404,9.2857,6.317,10.4982,8.06018,10.1123,7.798830000000001,9.319139999999999,5.76,5.87162,5.0,8.14358,9.71898,5.0,9.185080000000001,7.017469999999999,8.38312,9.1515,10.1862,5.0,11.4042,5.436,10.769,6.902,6.1114,5.0,5.0,5.8945,5.0,5.0,5.9095,8.7412,5.6746,11.8003,5.0,11.2252,10.7895,8.5978,11.033,11.7961,6.2239,7.3614,9.932739999999999,6.889060000000001,6.92373,11.9049,7.1058699999999995,6.21566,5.78394,11.4567,10.0779,11.8953,11.5674,11.7262,12.0253,11.2551,10.9857,5.0,10.3364,5.6796,11.9089,10.2472,10.5226,8.675089999999999,11.7972,5.3119,5.165,5.3119,9.93605,11.0288,5.0,9.27952,7.8171100000000004,8.75535,5.0,6.896839999999999,7.54255,12.0892,6.7064,12.0373,10.3987,5.7414,6.8212,6.43449,6.73272,8.367510000000001,7.31187,5.865469999999999,11.7053,11.355,9.63031,9.81762,10.549000000000001,8.757489999999999,5.0,11.6408,7.99067,9.83645,11.5299,8.27952,11.9042,12.0391,5.0,6.4345,9.82579,5.0,8.237260000000001,11.0503,5.0,5.0,6.57685,5.5671,5.0,5.4451,10.3082,6.4451,5.0,10.7375,7.4123,8.481689999999999,11.7205,7.3452,6.5075,6.65335,7.4232,11.4574,10.5679,6.19449,7.934,7.5329,8.14108,7.19767,9.23213,6.3105,7.9071,5.9827,9.71557,5.83555,8.4528,6.1881,5.0,6.0118,5.0,7.9973,6.9753,5.0,8.1195,7.4232,6.8836,5.8437,7.6533,5.9071,6.2987,5.0,8.6876,6.1361,5.0,7.5101,6.2506,7.4474,7.3105,7.0822,8.30311,8.9697,6.1753,7.3221,9.84722,5.0,5.0,5.0,5.0,5.0,5.0,6.25059,6.434,8.42458,9.51642,5.0,6.7473,5.7688,6.1881,5.0,7.2166,5.0,5.0,5.1228,5.0,9.54536,5.0,5.0,5.0,0
T_COLON_1,7.0296199999999995,10.8828,7.3994100000000005,10.2901,10.762,11.5822,7.89728,8.61266,10.6143,12.1164,5.0,11.1714,8.804030000000001,8.541889999999999,10.3679,5.3373,9.40385,8.461089999999999,8.548589999999999,9.27603,5.0,10.3504,5.0,5.0,8.66971,5.0,8.92019,8.65923,6.2675,9.73579,7.6837800000000005,9.4618,7.873989999999999,8.93254,5.4504,5.99667,5.0,6.5392,8.955919999999999,5.0,9.04297,7.14907,8.07952,8.12775,8.18047,5.0,10.603,5.0,9.74836,6.813,5.7815,5.0,5.0,6.0277,5.0,5.0,6.0804,8.168339999999999,6.2010000000000005,9.75562,5.0,10.3759,10.5636,7.605,9.74136,9.791089999999999,5.3558,6.9529,9.08202,7.16458,7.190239999999999,11.579,7.59933,6.49064,5.2645800000000005,10.7051,9.41867,11.7336,11.0986,10.9446,10.9561,10.2553,10.2308,5.0,10.3566,5.6667,11.6102,9.18088,9.69652,7.52331,9.78758,6.4516,5.9491,5.7472,9.2758,9.66606,5.0,7.29011,6.89601,8.412139999999999,5.0,6.24512,8.00893,12.3816,5.0,12.0503,8.735669999999999,6.1119,6.3731,6.14372,6.12965,6.79707,6.11543,5.761,10.5981,9.81697,8.44448,8.72635,10.4038,9.053410000000001,5.0,11.1152,8.66484,8.80263,11.0778,7.90946,12.0189,12.1034,5.1437,5.6908,9.248380000000001,5.0,6.1749,10.8048,5.0,5.0,6.50979,5.2838,5.0,5.0,9.338330000000001,5.686,5.0,9.939919999999999,7.6885,8.243160000000001,11.2203,7.7782,6.5252,6.3832699999999996,6.9705,10.8677,9.39965,8.18267,7.8911,7.3763,7.90803,7.013739999999999,8.427660000000001,6.1707,7.6842,6.3339,9.042580000000001,6.13404,8.4584,6.5501,5.0579,5.6828,5.0,7.9866,6.4175,5.0,7.8069,7.1504,6.8727,5.6428,7.341,5.6136,6.8275,5.0,7.6283,6.2678,5.5897,7.9543,5.959,7.2734,6.8477,6.7435,7.381530000000001,8.6165,5.341,7.3085,9.09275,5.0316,5.0,5.0,5.0,5.0,5.0,6.72175,5.5283,8.03377,9.07943,5.0,5.0,5.9774,5.6428,5.0,7.0093,5.0,5.0,5.0,5.0,9.41838,5.0,5.0,5.0,1
T_COLON_2,5.01773,10.3929,6.41654,9.27084,10.6092,11.3543,6.4922699999999995,8.97388,10.97,11.5332,5.0,7.74822,7.7664100000000005,7.18089,10.0976,5.0,9.16469,7.71466,8.29415,9.79383,5.0,9.15264,5.0,5.0,8.821819999999999,5.0,9.14005,8.46955,5.2934,10.2922,8.31438,10.4806,7.55509,7.5629100000000005,6.1724,5.32439,5.0,8.25925,9.252,5.0,10.2345,7.63275,8.31978,8.97339,8.64386,5.0,10.5026,5.0,9.806519999999999,6.6303,5.0,5.0,5.0,5.1483,5.0,5.0,5.0,8.37861,5.4021,9.24147,5.0,9.90423,10.3448,6.853,7.8380399999999995,9.69224,5.0,5.2227,9.57731,6.95895,5.9867099999999995,11.2749,6.665839999999999,6.18042,5.0,9.81775,8.47017,11.6294,10.9958,10.0171,11.3682,10.5097,10.6579,5.0,10.1349,5.3804,11.9688,9.09469,9.25125,7.23842,9.43727,5.0,5.7024,6.0649,9.63917,9.43727,5.0,7.4979,6.94595,8.1103,5.0,6.665839999999999,6.69203,12.3233,5.0,11.9027,8.32797,5.0,6.406000000000001,6.39963,7.1618,5.28733,6.15805,5.21694,10.8609,10.4022,8.793460000000001,9.06744,9.51303,7.42483,5.0,10.9678,6.4979,8.17486,9.332139999999999,7.582910000000001,11.5304,12.0754,5.4557,5.2873,7.6106300000000005,5.0,5.38687,9.96648,5.0,5.0,6.772760000000001,6.2942,5.0,5.0,8.72156,5.5273,5.0,9.11257,7.2669,8.16067,11.2936,7.3272,6.2849,5.0,6.9157,9.71839,8.1733,10.5719,6.5989,6.7071,7.270510000000001,6.71241,8.33849,5.0,7.2376,5.8201,9.056000000000001,7.42143,7.9701,5.9157,5.0,5.5491,5.0,7.9226,6.0773,5.0,7.8002,7.2669,6.8567,5.444,6.6443,5.5845,6.3616,5.0,7.8336,5.8397,5.0,7.8494,6.3097,7.2669,6.7698,6.7362,5.66369,8.1887,5.4247,7.0753,8.90114,5.0,5.0,5.0,5.0,5.0,5.0,5.647069999999999,5.3445,7.368360000000001,8.47889,5.0,5.0,5.3717,5.0,5.0,6.561,5.0,5.0,5.0,5.0,7.13806,5.0,5.0,5.0,1
T_COLON_3,7.22099,11.4748,6.3779,9.92473,10.6214,11.4312,8.05183,9.35896,11.304,11.9636,5.0,11.3218,8.64521,8.5523,10.1102,5.40337,9.33788,8.852269999999999,8.24735,9.682839999999999,5.0,9.76934,5.0356,5.2831,8.28894,5.0,8.90672,8.46514,6.3064,10.3289,8.36128,10.8742,7.595560000000001,8.62756,6.1038,5.55393,5.14321,8.20245,11.0166,5.0,9.96163,7.62215,7.8256,9.220989999999999,8.57649,5.0,11.3809,5.0,10.1577,6.847,5.6784,5.0,5.0,5.7929,5.0,5.0,5.4738,8.31218,6.0587,8.968960000000001,5.0,10.7071,10.6177,8.0391,9.108789999999999,9.3916,5.0,6.4874,9.90398,8.05002,7.624630000000001,11.3014,8.34247,7.822210000000001,7.29973,11.0966,9.54948,11.7453,11.0476,10.7483,11.7949,11.1788,11.1527,6.4812,10.5858,7.2518,11.8184,9.539019999999999,9.91898,8.7369,9.4066,7.6047,7.8496,7.3243,9.814860000000001,9.51786,7.1917,9.16334,8.0559,8.50394,7.6482,7.06905,7.80135,12.1082,7.0749,11.8359,9.2879,7.1483,8.6656,7.86304,7.84277,7.896210000000001,7.9666,7.8764,11.4441,10.4115,9.42205,9.60971,10.55,9.77485,6.1592,11.8064,9.32795,9.25312,11.1067,8.79697,11.9522,11.9274,7.2848,7.334,8.94853,6.8529,8.05149,10.5403,7.3533,6.5495,7.021739999999999,7.6885,6.8428,6.6384,9.94299,7.4368,5.5743,10.305,7.9184,7.6928600000000005,11.255,7.3565,6.0788,6.078790000000001,7.1447,10.8571,8.40072,6.80847,7.2522,7.1935,7.59647,6.63227,8.3196,5.7214,7.7181,5.8178,9.07359,6.02055,8.0205,5.8787,6.3522,5.8547,5.0,7.4676,6.0684,5.0,7.5782,7.2429,6.6287,5.3262,6.8697,5.4356,6.3565,5.0,7.7428,6.1595,5.0,7.7214,6.3692,6.9024,7.4376,6.6181,6.4517,8.4765,5.0,6.9285,9.74938,5.0,5.0,5.0,5.0,5.0,5.0,5.70132,5.5892,8.12224,9.104510000000001,5.0,6.3041,5.2727,5.0,5.0,6.5335,5.0,5.0,5.0,5.0,9.83483,5.0,5.0,5.0,1
T_COLON_4,6.24569,7.23251,5.87372,8.921710000000001,9.981010000000001,11.1374,5.0,8.665230000000001,11.1867,11.8298,5.0,6.77267,6.6492,6.34084,11.0675,5.0,7.41852,5.7497300000000005,8.96815,8.38617,5.0,7.453010000000001,5.0,5.0,8.80418,5.2192,7.82188,9.08179,5.9957,8.295630000000001,6.04929,7.359139999999999,5.87372,9.79412,7.5833,5.0,5.0,7.78625,6.27168,5.0,9.466439999999999,7.38617,5.82188,8.53445,5.25874,5.0,8.68228,5.0,10.671,6.5676,5.0,5.0,5.0,5.2717,5.0,5.0,5.0,6.9760800000000005,5.6442,10.7826,5.0,11.3708,8.32386,5.5729,6.721710000000001,10.3405,6.4068,5.0,6.3702,5.57184,5.507709999999999,11.0819,6.5926,6.07064,5.0,9.43629,7.55607,11.0548,10.0637,9.74756,10.0743,9.11616,9.34825,5.0,9.16722,5.0,12.003,10.1938,10.8932,6.81204,11.2581,5.0,5.2962,6.0179,7.85992,9.12509,5.0,5.0,5.06323,6.820860000000001,5.0,5.0179,6.739439999999999,10.5152,5.0,10.9617,9.91967,5.0,7.5401,6.17756,7.2248600000000005,5.0,5.16375,5.57184,7.83835,8.27709,7.855630000000001,8.02556,9.20309,6.855630000000001,5.0,11.2479,5.0,7.135739999999999,10.5375,6.785239999999999,11.8333,12.2697,5.0,5.0,8.46331,5.0,5.38218,8.88011,5.0,5.0,6.86419,5.4058,5.0,5.0,10.4502,5.0,5.0,11.0335,7.0553,7.29599,10.2856,7.916,6.3482,5.0,7.3596,9.3063,8.31654,7.610810000000001,7.2294,6.5251,7.058739999999999,7.34253,7.9236699999999995,5.8082,5.4527,5.9502,9.54018,8.082930000000001,7.5048,6.5048,5.4527,5.4945,5.0,7.6917,6.632000000000001,5.0,6.9577,5.9427,5.5747,5.0,8.0674,6.632000000000001,6.2232,5.0,7.5796,5.4421,5.0,7.9910000000000005,6.4367,6.1726,5.2721,5.2479,8.281130000000001,7.4151,5.0,7.5302,7.99096,5.0,5.0,5.0,5.0,5.0,5.0,6.0795,5.0,7.287089999999999,8.31362,5.0,5.3194,5.3425,5.0,5.0,6.9763,5.0,5.0,5.0,5.0,7.4151,5.0,5.0,5.0,1
T_COLON_5,6.23071,9.96664,6.35356,9.842889999999999,11.6116,11.4778,6.3238199999999996,10.1666,11.243,11.7352,5.0,7.4550600000000005,8.38888,7.39502,10.0774,5.0,9.21574,7.6695899999999995,9.44818,11.4733,5.0,8.50515,5.9868,5.0,8.30979,5.3744,10.1997,9.8107,6.8973,10.4774,7.74207,10.8305,8.09641,10.7393,7.524,5.01896,5.0,8.659419999999999,8.764389999999999,5.0,10.2024,7.75805,8.94133,9.20529,9.79723,5.0,10.6445,5.0,11.4274,6.6004,5.6319,5.0,5.0,5.7389,5.0,5.0,5.3324,8.96973,5.8857,11.0553,5.0,11.800999999999998,10.0569,7.3786,8.88424,11.5169,5.6457,7.1213,10.1887,6.28006,6.214180000000001,11.4025,7.0425699999999996,7.17315,5.2096800000000005,10.5553,9.066410000000001,11.5214,11.4856,10.9922,12.136,11.1547,11.0993,5.0,9.87288,5.3635,12.0874,10.546,11.5607,8.001489999999999,11.2414,5.0,7.119,7.3796,9.995619999999999,10.7546,5.0,9.21698,7.292889999999999,8.30665,5.2801,7.527989999999999,7.1474899999999995,11.957,5.0,11.698,9.743780000000001,5.0,6.7332,6.5171,10.1265,5.33069,6.806610000000001,5.48766,10.8088,11.0774,9.60242,9.74573,9.87608,8.1995,5.0,11.4356,7.0425699999999996,8.91565,10.7051,7.48394,11.5935,11.8448,5.1262,7.0972,7.70793,5.0,8.02858,9.70073,5.0,5.0,6.669110000000001,6.9538,5.0,5.6088,11.2066,6.0776,5.0,10.6962,7.8028,8.71296,11.7623,7.4638,6.4911,5.97213,7.5827,10.6337,9.15757,9.21955,7.1323,7.4638,7.70425,6.99137,10.482999999999999,6.2083,7.2999,6.5343,10.134,10.8687,8.1204,6.5889999999999995,6.2287,6.5277,5.9914,8.0221,7.1149,5.1453,8.0361,6.811,6.9866,6.1624,8.1083,6.5667,6.375,5.0928,8.6478,6.2765,5.0,7.7388,6.7781,7.5078,7.1813,6.8191,7.15384,8.748,5.6837,7.4944,8.98598,5.0658,5.0,5.0,5.0,5.0,5.0,6.00563,6.3823,7.4551300000000005,9.2858,5.0,6.989,5.5409,5.3529,5.0,6.8771,5.0,5.0,5.0291,5.0,8.75578,5.0,5.0,5.0,1
